"Concordance between the North American Industry Classification System (NAICS) Canada 2017 Version 3.0 and the International Standard Industrial Classification (ISIC), Rev. 4",,,,
NAICS Canada 2017 Version 3.0 Code,NAICS Canada 2017 Version 3.0 Title,ISIC Rev. 4 Code,ISIC Rev. 4 Title,Explanatory Notes
414510,Pharmaceuticals and pharmacy supplies merchant wholesalers,G4649*,Wholesale of other household goods,"Pharmaceuticals and pharmacy supplies, wholesale"
414520,"Toiletries, cosmetics and sundries merchant wholesalers",G4649*,Wholesale of other household goods,"Toiletries, cosmetics and sundries, wholesale"
415110,New and used automobile and light-duty truck merchant wholesalers,G4510*,Sale of motor vehicles,"New and used automobile and light-duty truck, wholesale"
415120,"Truck, truck tractor and bus merchant wholesalers",G4510*,Sale of motor vehicles,"Truck, truck tractor and bus, wholesale"
415190,Recreational and other motor vehicles merchant wholesalers,G4510*,Sale of motor vehicles,"Recreational vehicles and trailers, commercial trailers, wholesale"
415190,Recreational and other motor vehicles merchant wholesalers,G4530*,Sale of motor vehicle parts and accessories,"Motor vehicle bodies, wholesale"
415190,Recreational and other motor vehicles merchant wholesalers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","All-terrain vehicles, motorcycles and snowmobiles, wholesale"
415210,Tire merchant wholesalers,G4530*,Sale of motor vehicle parts and accessories,"Tires and tubes (except motorcycles), wholesale"
415210,Tire merchant wholesalers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","Motorcycle tires and tubes, wholesale"
415290,Other new motor vehicle parts and accessories merchant wholesalers,G4530*,Sale of motor vehicle parts and accessories,"New and rebuilt motor vehicle parts and accessories (except tires and tubes), wholesale"
415290,Other new motor vehicle parts and accessories merchant wholesalers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","Motorcycle and snowmobile parts, wholesale"
415290,Other new motor vehicle parts and accessories merchant wholesalers,G4649*,Wholesale of other household goods,"Motor vehicle sound systems, wholesale"
415290,Other new motor vehicle parts and accessories merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Automotive chemicals (e.g., anti-freeze, body compounds, oil additives), wholesale"
415310,Used motor vehicle parts and accessories merchant wholesalers,G4530*,Sale of motor vehicle parts and accessories,"Used motor vehicle parts and accessories, wholesale"
415310,Used motor vehicle parts and accessories merchant wholesalers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","Motorcycle parts, used, wholesale"
416110,Electrical wiring and construction supplies merchant wholesalers,G4649*,Wholesale of other household goods,"Electric lamps and lighting fixtures, lamp bulbs, flashlights, wholesale"
416110,Electrical wiring and construction supplies merchant wholesalers,G4652*,Wholesale of electronic and telecommunications equipment and parts,Wholesaler-distributors of security systems
416110,Electrical wiring and construction supplies merchant wholesalers,G4659*,Wholesale of other machinery and equipment,"Electrical wire, generation and transmission equipment, and construction supplies, wholesale"
416120,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",G4649*,Wholesale of other household goods,"Non-electric cooking stoves and ranges, wholesale"
416120,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Electrical pumps (except industrial), wholesale"
416120,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Plumbing, heating and air-conditioning equipment and supplies, wholesale"
416210,Metal service centres,G4662*,Wholesale of metals and metal ores,"Metals (except precious) in primary forms, wholesale"
416210,Metal service centres,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Architectural metal products, wholesale"
416310,General-line building supplies merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","General-line building supplies, wholesale"
416320,"Lumber, plywood and millwork merchant wholesalers",G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Lumber, plywood and millwork, wholesale"
416330,Hardware merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Hardware, wholesale"
416340,"Paint, glass and wallpaper merchant wholesalers",G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Paint, glass, and wallpaper, wholesale"
416340,"Paint, glass and wallpaper merchant wholesalers",G4669*,Wholesale of waste and scrap and other products n.e.c.,"Pigments and colours, wholesale"
416390,Other specialty-line building supplies merchant wholesalers,G4649*,Wholesale of other household goods,"Kitchen cabinets and counter tops, wholesale"
416390,Other specialty-line building supplies merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Building supplies n.e.c. (e.g., caulking materials, asphalt roofing; building stone; cement; drywall; insulation; metal windows; ornamental hand railings; fencing, gates and accessories), wholesale"
417110,"Farm, lawn and garden machinery and equipment merchant wholesalers",G4653*,"Wholesale of agricultural machinery, equipment and supplies","Farm, lawn and garden machinery and equipment, wholesale"
417210,"Construction and forestry machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Construction and forestry machinery, equipment and supplies, wholesale"
417220,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Mining, oil and gas well and refining machinery, equipment and supplies, wholesale"
417220,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers",G4669*,Wholesale of waste and scrap and other products n.e.c.,"Drilling mud, wholesale"
417230,"Industrial machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Industrial machinery, equipment and supplies, wholesale"
417230,"Industrial machinery, equipment and supplies merchant wholesalers",G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Welding electrodes and wire, wholesale"
417230,"Industrial machinery, equipment and supplies merchant wholesalers",G4669*,Wholesale of waste and scrap and other products n.e.c.,"Printer's ink, wholesale"
417310,"Computer, computer peripheral and pre-packaged software merchant wholesalers",G4651,"Wholesale of computers, computer peripheral equipment and software",
417320,"Electronic components, navigational and communications equipment and supplies merchant wholesalers",G4652*,Wholesale of electronic and telecommunications equipment and parts,"Communications equipment and parts; and other electronic components, wholesale"
417320,"Electronic components, navigational and communications equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Sonar and radar equipment, wholesale"
417910,Office and store machinery and equipment merchant wholesalers,G4652*,Wholesale of electronic and telecommunications equipment and parts,"Blank magnetic recording media, wholesale"
417910,Office and store machinery and equipment merchant wholesalers,G4659*,Wholesale of other machinery and equipment,"Office and store machinery and equipment and furniture, wholesale"
417920,"Service establishment machinery, equipment and supplies merchant wholesalers",G4649*,Wholesale of other household goods,"Janitors' supplies, wholesale"
417920,"Service establishment machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Service establishment machinery and equipment (e.g., barber shop; car wash; undertakers'; dry cleaning; restaurant; cinema); coin-operated game machines, wholesale"
417920,"Service establishment machinery, equipment and supplies merchant wholesalers",G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Water softening equipment; commercial and industrial cutlery, wholesale"
417930,"Professional machinery, equipment and supplies merchant wholesalers",G4649*,Wholesale of other household goods,"Surgical and orthopedic instruments; ophthalmic goods; dentists' supplies; prosthetics; safety equipment, wholesale"
417930,"Professional machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Professional equipment n.e.c. (e.g., engineering instruments; dental, medical and hospital equipment), wholesale"
417930,"Professional machinery, equipment and supplies merchant wholesalers",G4690*,Non-specialized wholesale trade,"Artist equipment and supplies, wholesale"
417990,"All other machinery, equipment and supplies merchant wholesalers",G4649*,Wholesale of other household goods,"Boats, pleasure (e.g., canoes, motorboats, sailboats), wholesale; playground equipment, wholesale"
417990,"All other machinery, equipment and supplies merchant wholesalers",G4659*,Wholesale of other machinery and equipment,"Machinery and equipment n.e.c. (e.g., amusement park equipment, transportation equipment (except trucks), service station equipment and supplies, aircraft or marine engines and parts, and similar), wholesale"
418110,Recyclable metal merchant wholesalers,E3830*,Materials recovery,"Ships, dismantling"
418110,Recyclable metal merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Metal scrap and waste (sorting and grading), wholesale; cutting-up metal waste for direct input into metal mills"
418120,Recyclable paper and paperboard merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Recyclable paper and paperboard, wholesale"
418190,Other recyclable material merchant wholesalers,E3830*,Materials recovery,Shredding tires for rubber and metal content; grinding plastic containers
418190,Other recyclable material merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Waste material (except metal and paper), wholesaling without transformation"
418210,Stationery and office supplies merchant wholesalers,G4649*,Wholesale of other household goods,"Stationery and office supplies, wholesale"
418220,Other paper and disposable plastic product merchant wholesalers,G4649*,Wholesale of other household goods,"Household paper products and disposable plastic cups, plates, cutlery and food trays and containers, wholesale"
418220,Other paper and disposable plastic product merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Newsprint, fine, printing or writing paper, and paper products n.e.c. (e.g., paperboard boxes, sanitary paper, kraft wrapping paper), wholesale"
418310,Agricultural feed merchant wholesalers,G4620*,Wholesale of agricultural raw materials and live animals,"Agricultural feed (except pet food), wholesale"
418310,Agricultural feed merchant wholesalers,G4630*,"Wholesale of food, beverages and tobacco","Pet food, wholesale"
418320,Seed merchant wholesalers,G4620*,Wholesale of agricultural raw materials and live animals,"Seed, wholesale"
418390,Agricultural chemical and other farm supplies merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Agricultural chemical and other farm supplies, wholesale"
418410,Chemical (except agricultural) and allied product merchant wholesalers,G4649*,Wholesale of other household goods,"Bleaches and cleaning compounds, soaps, fabric softeners, laundry starches, polishes and waxes, wholesale"
418410,Chemical (except agricultural) and allied product merchant wholesalers,G4659*,Wholesale of other machinery and equipment,"Fire extinguisher preparations; boiler chemicals, wholesale"
418410,Chemical (except agricultural) and allied product merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Turpentine, wholesale"
418410,Chemical (except agricultural) and allied product merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Chemical (except agricultural) and allied products (e.g., adhesives, sealants), wholesale"
418910,Log and wood chip merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Log and wood chip, wholesale"
418920,"Mineral, ore and precious metal merchant wholesalers",G4662*,Wholesale of metals and metal ores,"Metal ores and concentrates (including precious metals in primary forms), wholesale"
418920,"Mineral, ore and precious metal merchant wholesalers",G4669*,Wholesale of waste and scrap and other products n.e.c.,"Crude, non-metallic minerals and concentrates (except petroleum), wholesale"
418930,Second-hand goods (except machinery and automotive) merchant wholesalers,G4641*,"Wholesale of textiles, clothing and footwear","Used clothing, wholesale"
418930,Second-hand goods (except machinery and automotive) merchant wholesalers,G4649*,Wholesale of other household goods,"Used household furniture and furnishings; books, wholesale"
418990,All other merchant wholesalers,G4620*,Wholesale of agricultural raw materials and live animals,"Leather; natural Christmas trees; and soil, wholesale"
418990,All other merchant wholesalers,G4630*,"Wholesale of food, beverages and tobacco","Fish-oil; ice, wholesale"
418990,All other merchant wholesalers,G4641*,"Wholesale of textiles, clothing and footwear","Textile bags, wholesale"
418990,All other merchant wholesalers,G4649*,Wholesale of other household goods,"All other household goods (e.g., musical instruments, leather goods (except footwear and apparel), paper novelties, pet supplies (except food), wigs, artificial Christmas trees), wholesale"
418990,All other merchant wholesalers,G4653*,"Wholesale of agricultural machinery, equipment and supplies","Wood shavings, wholesale"
418990,All other merchant wholesalers,G4659*,Wholesale of other machinery and equipment,"Cordage, rope and twine; industrial brushes and brooms; broom and mop handles; and containers, wholesale"
418990,All other merchant wholesalers,G4661*,"Wholesale of solid, liquid and gaseous fuels and related products","Coal, coke, charcoal and firewood, wholesale"
418990,All other merchant wholesalers,G4663*,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Mobile homes, wholesale"
418990,All other merchant wholesalers,G4669*,Wholesale of waste and scrap and other products n.e.c.,"Plastics foam, crude rubber, cooperage stock, box shook, wholesale"
418990,All other merchant wholesalers,G4690*,Non-specialized wholesale trade,All other wholesaler-distributors n.e.c.
419110,Business-to-business electronic markets,G4510*,Sale of motor vehicles,"Automobiles, new and used, business-to-business (B2B) electronic markets, wholesale"
419110,Business-to-business electronic markets,G4530*,Sale of motor vehicle parts and accessories,"Motor vehicle parts and accessories, new, business-to-business (B2B) electronic markets, wholesale"
419110,Business-to-business electronic markets,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","Motorcycle and parts, business-to-business (B2B) electronic markets, wholesale"
419110,Business-to-business electronic markets,G4610*,Wholesale on a fee or contract basis,"B2B markets for a variety of goods or for specialized sale of particular products or ranges of products n.e.c, including personal, household, industrial and commercial goods"
419120,Wholesale trade agents and brokers,G4510*,Sale of motor vehicles,"Motor vehicles, wholesale agents and brokers"
419120,Wholesale trade agents and brokers,G4530*,Sale of motor vehicle parts and accessories,"New and rebuilt auto parts, wholesale agents and brokers"
419120,Wholesale trade agents and brokers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories",Motorcycle agents and brokers
419120,Wholesale trade agents and brokers,G4610*,Wholesale on a fee or contract basis,"Agents and brokers for a variety of goods or for particular products or ranges of products, including cannabis products, n.e.c."
441110,New car dealers,G4510*,Sale of motor vehicles,New car dealers
441120,Used car dealers,G4510*,Sale of motor vehicles,Used car dealers
441210,Recreational vehicle dealers,G4510*,Sale of motor vehicles,"Motor homes and travel trailers, retail"
441210,Recreational vehicle dealers,G4530*,Sale of motor vehicle parts and accessories,"Recreational vehicle parts and accessories, retail"
441220,"Motorcycle, boat and other motor vehicle dealers",C3315*,"Repair of transport equipment, except motor vehicles","Boats, new, retail and repair, primarily repair"
441220,"Motorcycle, boat and other motor vehicle dealers",G4510*,Sale of motor vehicles,"Motorized vehicles n.e.c. (e.g., dune buggies, go-carts, golf carts); utility trailers, retail"
441220,"Motorcycle, boat and other motor vehicle dealers",G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","All-terrain vehicles, motorcycles, and snowmobiles; motorcycle parts stores, retail"
441220,"Motorcycle, boat and other motor vehicle dealers",G4763*,Retail sale of sporting equipment in specialized stores,"Boats and motors, and aircraft, retail"
441220,"Motorcycle, boat and other motor vehicle dealers",G4773*,Other retail sale of new goods in specialized stores,"Aircraft dealers, retail"
441310,Automotive parts and accessories stores,G4530*,Sale of motor vehicle parts and accessories,"Automotive parts, batteries and accessories, retail"
441310,Automotive parts and accessories stores,G4742*,Retail sale of audio and video equipment in specialized stores,"Motor vehicle sound systems, retail"
441320,Tire dealers,G4530*,Sale of motor vehicle parts and accessories,"Motorcycle tire dealers, new and used, retail"
441320,Tire dealers,G4540*,"Sale, maintenance and repair of motorcycles and related parts and accessories","Tires and tubes, retail"
442110,Furniture stores,G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Household furniture stores
442210,Floor covering stores,G4753*,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",Floor covering stores
442291,Window treatment stores,G4753*,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores","Curtain, drapery, blind and shade stores"
442291,Window treatment stores,S9524*,Repair of furniture and home furnishings,Retailing new blinds and shades in combination with repair as primary source of receipts
442292,Print and picture frame stores,G4773*,Other retail sale of new goods in specialized stores,Print and picture frame stores
442298,All other home furnishings stores,G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","All other home furnishings stores (e.g., china, cutlery, kitchenware, linen shops)"
443143,"Appliance, television and other electronics stores",G4741*,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",Telephone stores
443143,"Appliance, television and other electronics stores",G4742*,Retail sale of audio and video equipment in specialized stores,Entertainment equipment stores
443143,"Appliance, television and other electronics stores",G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Household appliances stores
443143,"Appliance, television and other electronics stores",S9521*,Repair of consumer electronics,Retailing new and repairing consumer electronics products with repair as primary source of receipts
443143,"Appliance, television and other electronics stores",S9522*,Repair of household appliances and home and garden equipment,"Retailing new appliances, combined with repair services as primary source of receipts"
443144,Computer and software stores,G4741*,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Computers, peripherals and non-customized software, wholesale"
443145,Camera and photographic supplies stores,C3313*,Repair of electronic and optical equipment,Retail and repair of cameras and photographic equipment as primary source of receipts
443145,Camera and photographic supplies stores,G4773*,Other retail sale of new goods in specialized stores,Camera and photographic supply stores
443146,Audio and video recordings stores,G4762,Retail sale of music and video recordings in specialised stores,
444110,Home centres,G4752*,"Retail sale of hardware, paints and glass in specialized stores","Building supplies, retailed in home centres"
444120,Paint and wallpaper stores,G4752*,"Retail sale of hardware, paints and glass in specialized stores",Paint stores
444120,Paint and wallpaper stores,G4753*,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",Wallpaper stores
444130,Hardware stores,G4752*,"Retail sale of hardware, paints and glass in specialized stores",Hardware stores
444190,Other building material dealers,G4752*,"Retail sale of hardware, paints and glass in specialized stores","Specialized building supply stores (e.g., lumber, electrical, plumbing)"
444190,Other building material dealers,G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Lighting fixture stores
444210,Outdoor power equipment stores,G4752*,"Retail sale of hardware, paints and glass in specialized stores",Outdoor power equipment stores
444210,Outdoor power equipment stores,S9522*,Repair of household appliances and home and garden equipment,"Retailing new outdoor power equipment, in combination with repair as primary source of receipts"
444220,Nursery stores and garden centres,G4773*,Other retail sale of new goods in specialized stores,Nursery stores and garden centres
445110,Supermarkets and other grocery (except convenience) stores,G4711*,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Supermarkets and other grocery (except convenience) stores
445120,Convenience stores,G4711*,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Convenience stores
445210,Meat markets,G4721*,Retail sale of food in specialized stores,Meat markets
445220,Fish and seafood markets,G4721*,Retail sale of food in specialized stores,Fish and seafood markets
445230,Fruit and vegetable markets,G4721*,Retail sale of food in specialized stores,Fresh fruit and vegetable stores
445230,Fruit and vegetable markets,G4781*,"Retail sale via stalls and markets of food, beverages and tobacco products",Fresh fruit and vegetable markets and stalls
445291,Baked goods stores,G4721*,Retail sale of food in specialized stores,Baked goods stores
445292,Confectionery and nut stores,G4721*,Retail sale of food in specialized stores,Confectionery and nut stores
445299,All other specialty food stores,G4721*,Retail sale of food in specialized stores,Specialty food stores n.e.c.
445299,All other specialty food stores,G4722*,Retail sale of beverages in specialized stores,Bottled water and soft drink stores
445310,"Beer, wine and liquor stores",G4722*,Retail sale of beverages in specialized stores,"Beer, wine and liquor stores"
446110,Pharmacies and drug stores,G4772*,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Pharmacies and drug stores
446120,"Cosmetics, beauty supplies and perfume stores",G4772*,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Cosmetics, beauty supplies and perfume stores"
446130,Optical goods stores,G4773*,Other retail sale of new goods in specialized stores,Optical goods stores
446191,Food (health) supplement stores,G4721*,Retail sale of food in specialized stores,Food (health) supplement stores
446199,All other health and personal care stores,G4772*,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Medical and orthopedic goods stores
447110,Gasoline stations with convenience stores,G4711*,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Convenience stores with gasoline (primarily selling products other than gasoline)
447110,Gasoline stations with convenience stores,G4730*,Retail sale of automotive fuel in specialized stores,Gasoline stations with convenience stores (primarily selling gasoline)
447190,Other gasoline stations,G4730*,Retail sale of automotive fuel in specialized stores,Gasoline stations with fuel sales predominant
448110,Men's clothing stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Men's clothing stores
448120,Women's clothing stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Women's clothing stores
448130,Children's and infants' clothing stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Children's and infants' clothing stores
448140,Family clothing stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Family clothing stores
448150,Clothing accessories stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Clothing accessory stores (except wig stores)
448150,Clothing accessories stores,G4773*,Other retail sale of new goods in specialized stores,Wig stores
448191,Fur stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Fur stores
448199,All other clothing stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores","All other clothing stores (e.g., lingerie, women and children's sleepwear, riding apparel, raincoat)"
448210,Shoe stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Shoe stores
448310,Jewellery stores,G4773*,Other retail sale of new goods in specialized stores,Jewellery stores
448310,Jewellery stores,S9529*,Repair of other personal and household goods,"Retailing and repairing new jewelry, clocks, and watches, repair primary source of revenue"
448320,Luggage and leather goods stores,G4771*,"Retail sale of clothing, footwear and leather articles in specialized stores",Luggage and leather goods stores (except clothing accessories)
448320,Luggage and leather goods stores,S9523*,Repair of footwear and leather goods,"New luggage and leather goods, retail and repair"
451111,Golf equipment and supplies specialty stores,G4763*,Retail sale of sporting equipment in specialized stores,Retailing and repairing golf equipment and supplies
451112,Ski equipment and supplies specialty stores,G4763*,Retail sale of sporting equipment in specialized stores,Retailing and repairing ski equipment and supplies
451113,Cycling equipment and supplies specialty stores,G4763*,Retail sale of sporting equipment in specialized stores,Retailing and repairing cycling equipment and supplies
451113,Cycling equipment and supplies specialty stores,S9529*,Repair of other personal and household goods,"New bicycles combined with repair, repair as primary source of receipts, retail"
451119,All other sporting goods stores,G4763*,Retail sale of sporting equipment in specialized stores,Retailing and repairing all other sporting equipment and supplies
451120,"Hobby, toy and game stores",G4764,Retail sale of games and toys in specialized stores,
451130,"Sewing, needlework and piece goods stores",G4751,Retail sale of textiles in specialized stores,
451140,Musical instrument and supplies stores,G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Musical instrument and supplies stores
451140,Musical instrument and supplies stores,S9529*,Repair of other personal and household goods,"New musical instruments combined with repair, repair as primary source of receipts, retail"
451310,Book stores and news dealers,G4761*,"Retail sale of books, newspapers and stationary in specialized stores",Book stores and news dealers
452110,Department stores,G4719*,Other retail sale in non-specialized stores,Department stores
452910,Warehouse clubs,G4711*,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","General line merchandise stores, where food, beverages and tobacco are predominant"
452910,Warehouse clubs,G4719*,Other retail sale in non-specialized stores,"General line merchandise stores, where food, beverages and tobacco are not predominant"
452991,Home and auto supplies stores,G4530*,Sale of motor vehicle parts and accessories,
452999,All other miscellaneous general merchandise stores,G4719*,Other retail sale in non-specialized stores,All other miscellaneous general merchandise stores
453110,Florists,G4773*,Other retail sale of new goods in specialized stores,Florists
453210,Office supplies and stationery stores,G4761*,"Retail sale of books, newspapers and stationary in specialized stores",Office supplies and stationery stores
453220,"Gift, novelty and souvenir stores",G4773*,Other retail sale of new goods in specialized stores,"Gift, novelty and souvenir stores"
453310,Used merchandise stores,G4774*,Retail sale of second-hand goods,"Used merchandise stores (except automotive, pawned or auctioned items)"
453910,Pet and pet supplies stores,G4773*,Other retail sale of new goods in specialized stores,Pet and pet supplies stores
453920,Art dealers,G4773*,Other retail sale of new goods in specialized stores,Art dealers
453930,Mobile home dealers,G4773*,Other retail sale of new goods in specialized stores,Mobile home dealers
453992,Beer and wine-making supplies stores,G4773*,Other retail sale of new goods in specialized stores,Beer and wine-making supplies stores
453993,Cannabis stores ,G4772*," Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",retail of cannabis and cannabis products for medical use
453993,Cannabis stores ,G4791*,Retail sale via mail order houses or via internet,"cannabis product retail, exclusively via the Internet"
453993,Cannabis stores ,G4773*,Other retail sale of new goods in specialized stores,"retail of cannabis and cannabis products for recreational use, cannabis seeds, cannabis oil, cannabis retail, provincially regulated cannabis stores, head shops"
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),C2396*,"Cutting, shaping and finishing of stone",Monument and tombstone dealers
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),G4723,Retail sale of tobacco products in specialized stores,
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),G4752*,"Retail sale of hardware, paints and glass in specialized stores",Sauna and hot tub stores
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),G4759*,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Home security equipment stores and candle shops
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),G4773*,Other retail sale of new goods in specialized stores,Specialty stores n.e.c. wig stores; monument and tombstone dealers; other specialty stores n.e.c.
453999,All other miscellaneous store retailers (except beer and wine-making supplies stores),G4774*,Retail sale of second-hand goods,"Auctioneering, with own facilities, open to the general public, retail"
454110,Electronic shopping and mail-order houses,G4791,Retail sale via mail order houses or via Internet,
454210,Vending machine operators,G4799*,"Other retail sale not in stores, stalls or markets",Vending machine operators
454311,Heating oil dealers,G4799*,"Other retail sale not in stores, stalls or markets",Heating oil dealers
454312,Liquefied petroleum gas (bottled gas) dealers,G4799*,"Other retail sale not in stores, stalls or markets",Liquefied petroleum gas (bottled gas) dealers
454319,Other fuel dealers,G4799*,"Other retail sale not in stores, stalls or markets","Direct selling of other fuels (e.g., coal, firewood)"
454390,Other direct selling establishments,G4781*,"Retail sale via stalls and markets of food, beverages and tobacco products",Road-side temporary fruit and vegetable stands
454390,Other direct selling establishments,G4782,"Retail sale via stalls and markets of textiles, clothing and footwear",
454390,Other direct selling establishments,G4789,Retail sale via stalls and markets of other goods,
454390,Other direct selling establishments,G4799*,"Other retail sale not in stores, stalls or markets",Direct selling n.e.c. (door-to-door and other non-store retailing)
481110,Scheduled air transportation,H5110*,Passenger air transport,"Passenger air transportation, scheduled"
481110,Scheduled air transportation,H5120*,Freight air transport,"Freight transportation, air, scheduled"
481214,Non-scheduled chartered air transportation,H5110*,Passenger air transport,"Air passenger carriers, non-scheduled"
481214,Non-scheduled chartered air transportation,H5120*,Freight air transport,"Air cargo carriers (except air courier), non-scheduled"
481215,Non-scheduled specialty flying services,H5110*,Passenger air transport,"Specialty air transportation services, with none predominating, using general purpose aircraft"
481215,Non-scheduled specialty flying services,H5120*,Freight air transport,"Helicopter carriers, non-scheduled service"
482112,Short-haul freight rail transportation,H4912*,Freight rail transport,Short-haul freight rail transportation
482113,Mainline freight rail transportation,H4912*,Freight rail transport,Mainline freight rail transportation
482114,Passenger rail transportation,H4911*,"Passenger rail transport, interurban",Passenger rail transportation
483115,"Deep sea, coastal and great lakes water transportation (except by ferries)",H5011*,Sea and coastal passenger water transport,"Deep-sea, coastal and Great Lakes water transportation (except ferries), passenger"
483115,"Deep sea, coastal and great lakes water transportation (except by ferries)",H5012*,Sea and coastal freight water transport,"Deep sea, coastal and Great Lakes water transportation, freight"
483116,"Deep sea, coastal and great lakes water transportation by ferries",H5011*,Sea and coastal passenger water transport,"Deep sea, coastal and Great Lakes water transportation by ferries"
483213,Inland water transportation (except by ferries),H5011*,Sea and coastal passenger water transport,"Intracoastal water transportation, passenger"
483213,Inland water transportation (except by ferries),H5012*,Sea and coastal freight water transport,"Intracoastal water transportation, freight"
483213,Inland water transportation (except by ferries),H5021*,Inland passenger water transport,"Inland passenger water transportation (except ferries), passengers"
483213,Inland water transportation (except by ferries),H5022,Inland freight water transport,
483214,Inland water transportation by ferries,H5021*,Inland passenger water transport,"Inland passenger water transportation by ferries, passengers"
484110,"General freight trucking, local",H4923*,Freight transport by road,"General freight trucking, local"
484121,"General freight trucking, long distance, truck-load",H4923*,Freight transport by road,"General freight trucking, long distance, truck-load"
484122,"General freight trucking, long distance, less than truck-load",H4923*,Freight transport by road,"General freight trucking, long distance, less than truck-load"
484210,Used household and office goods moving,H4923*,Freight transport by road,Used household and office goods moving
